Article_Item,Description,Old_Property_Number,New_Property_Number,Unit_of_Measure,Unit_Value ,Quantity_per_ Property_Card,Quantity_per_Physical_Count,Location_Whereabouts,Condition,Remarks
MAIN POWER HOUSE," 4-Level, reinforced concrete and steel-framed structure, entirely reinforced concrete and rib-type wall, rib-type roofing, steel accordion roll-up and steel doors. FA = 280 sq.m.",1443,0000-03-050-0001-01,lot,,1,,,,
CONTROL BUILDING," 1-storey, reinforced concrete-framed, concrete  hollow block wall, ceramic tile finish flooring, concrete hollow block partition, plywood ceiling, glass on analok frame window, and steel plate and flush-type doors. FA = 167 sq.m.",1462,0000-03-050-0002-01,lot,,1,,,,
MACHINE SHOP BUILDING,"1-storey, reinforced concrete-framed, entirely reinforced concrete walls and roof slab, plain cement finish flooring, steel casement with glass panes window, steel plate door. FA = 138 sq.m.",1458,0000-03-050-0003-01,lot,,1,,,,
CABLE HOUSE (Excluded cable machine): ,"1-storey steel framed, rib-type wall and roofing, plain cement flooring, glass on steel casement window, steel door. FA = 86 sq.m.",1463,0000-03-050-0004-01,lot,,1,,,,
NEW CLINIC BUILDING,"1-storey, reinforced concrete-framed, corrugated galvanized iron sheet roofing, ceramic tile finish flooring, glass on aluminum frame windows and doors. FA= 33 sq.m.",1464,0000-03-050-0005-01,lot,,1,,,,
WAREHOUSE 1,"1-storey, reinforced concrete-framed, concrete hollow block and rib-type walls, rib-type sheet roofing, plain cement finish flooring, steel folded door. FA = 165 sq.m.",1465,0000-03-050-0006-01,lot,,1,,,,
MECHANICAL SHOP (formerly Oil House),"Interconnected in Warehouse 1, concrete hollow block wall, corrugated corrugated galvanized iron sheet roofing, plain cement fiinsh flooring. FA = 63 sq.m.",1468,0000-03-050-0007-01,lot,,1,,,,
"HAZZARD,OIL AND LUBRIGANT STORAGES (formerly Motorpool)","Tubular steel post, concrete hollow block wall, corrugated corrugated galvanized iron sheet roofing on timber frame, plain cement flooring. FA = 131 sq.m.",1469,0000-03-050-0008-01,lot,,1,,,,
WAREHOUSE 2,"1-storey, reinforced concrete-framed, concrete hollow block wall, rib-type sheet roofing, plain cement flooring, steel folded door. FA =  84 sq.m.",1466,0000-03-050-0009-01,lot,,1,,,,
BATTERY STORAGE & COMFORT ROOM (formerly Electrical Building),"1-storey, concrete framed, concrete hollow block walls, rib-type roofing, plain cement flooring, steel plate door. FA = 38 sq.m.",1456,0000-03-050-0010-01,lot,,1,,,,
JANITORIAL BUILDING,"Interconnected to Warehouse 2, 1-storey, reinforced concrete-framed, concrete hollow block wall, corrugated galvanized iron sheet roofing, ceramic tile finish flooring, glass on analok frame window, wood panel door. FA = 44 sq.m.",1444,0000-03-050-0011-01,lot,,1,,,,
